2017-03-11~[96, 80]
2017-03-10~[176, 108]
2017-03-09~[2655, 1083]
2017-03-08~[3118, 1244]
2017-03-06~[2482, 1012]
2017-03-07~[3385, 1544]
2017-03-05~[1872, 808]
2017-03-04~[774, 395]
2017-03-03~[2175, 1002]
2017-03-02~[2896, 1309]
2017-03-01~[3504, 1551]
2017-02-28~[3336, 1201]
2017-02-27~[2982, 1173]
2017-02-26~[2033, 865]
2017-02-25~[1519, 700]
2017-02-24~[2418, 1094]
2017-02-23~[2545, 1129]
2017-02-22~[2740, 1214]
2017-02-21~[2757, 1283]
2017-02-20~[2807, 1444]
2017-02-19~[2096, 1072]
2017-02-18~[2276, 1038]
2017-02-17~[4700, 2539]
2017-02-16~[2541, 1086]
2017-02-15~[2530, 1104]
2017-02-14~[2585, 1003]
2017-02-13~[2554, 1006]
2017-02-12~[2003, 812]
2017-02-11~[1555, 737]
2017-02-10~[2480, 1293]
2017-02-09~[3956, 1785]
2017-02-08~[4488, 1855]
2017-02-07~[3367, 1539]
2017-02-06~[3060, 1263]
2017-02-05~[1801, 739]
2017-02-04~[1713, 795]
2017-02-03~[3384, 1545]
2017-02-02~[5276, 2264]
2017-02-01~[5912, 2624]
2017-01-31~[4524, 1941]
2017-01-30~[3443, 1441]
2017-01-29~[2519, 1039]
2017-01-28~[2523, 1090]
2017-01-27~[3799, 1808]
2017-01-26~[4594, 1889]
2017-01-25~[4336, 2110]
2017-01-24~[9152, 4802]
2017-01-23~[2597, 1227]
2017-01-22~[2135, 1005]
2017-01-21~[2163, 981]
2017-01-20~[3500, 1637]
2017-01-19~[4896, 2347]
2017-01-18~[7315, 3263]
2017-01-17~[15537, 6922]
2017-01-16~[4419, 1684]
2017-01-15~[3043, 1432]
2017-01-14~[1578, 759]
2017-01-13~[2319, 1043]
2017-01-12~[2214, 1025]
2017-01-11~[2122, 989]
2017-01-10~[2701, 1077]
2017-01-09~[2711, 1127]
2017-01-08~[2186, 1104]
2017-01-07~[1594, 1101]
2017-01-06~[2485, 1359]
2017-01-05~[2564, 1293]
2017-01-04~[3244, 1371]
2017-01-03~[2499, 1268]
2017-01-02~[1170, 774]
2017-01-01~[1143, 735]
2016-12-31~[1240, 886]
2016-12-30~[1522, 779]
2016-12-29~[1668, 803]
2016-12-28~[1486, 797]
2016-12-27~[1290, 684]
2016-12-26~[1026, 658]
2016-12-25~[681, 471]
2016-12-24~[1078, 615]
2016-12-23~[1372, 817]
2016-12-22~[1542, 883]
2016-12-21~[1946, 948]
2016-12-20~[2044, 1098]
2016-12-19~[1857, 949]
2016-12-18~[1625, 834]
2016-12-17~[1366, 829]
2016-12-16~[2240, 1007]
2016-12-15~[2748, 1250]
2016-12-14~[2168, 1148]
2016-12-13~[2284, 1123]
2016-12-12~[2139, 1114]
2016-12-11~[1643, 914]
2016-12-10~[1522, 941]
2016-12-09~[2463, 1262]
2016-12-08~[3281, 1625]
2016-12-07~[3727, 2079]
2016-12-06~[3952, 1878]
2016-12-05~[3333, 2073]
2016-12-04~[2146, 1261]
2016-12-03~[1333, 883]
2016-12-02~[3397, 1868]
2016-12-01~[3048, 1499]
2016-11-30~[2403, 1232]
2016-11-29~[2663, 1356]
2016-11-28~[2708, 1345]
2016-11-27~[1822, 1073]
2016-11-26~[1806, 1118]
2016-11-25~[2973, 1646]
2016-11-24~[1744, 783]
2016-11-23~[3813, 1672]
2016-11-22~[2804, 1548]
2016-11-21~[2523, 1349]
2016-11-20~[1854, 1119]
2016-11-19~[1545, 881]
2016-11-18~[2535, 1564]
2016-11-17~[2906, 1682]
2016-11-16~[3400, 1632]
2016-11-15~[4190, 1742]
2016-11-14~[2438, 1443]
2016-11-13~[1769, 1319]
2016-11-12~[1909, 1422]
2016-11-11~[2765, 1895]
2016-11-10~[3430, 2238]
2016-11-09~[19875, 9833]
2016-11-08~[5187, 2492]
2016-11-07~[4202, 2074]
2016-11-06~[3750, 1892]
2016-11-05~[3292, 1777]
2016-11-04~[7253, 3693]
2016-11-03~[13429, 7278]
2016-11-02~[2931, 1414]
2016-11-01~[2513, 1272]
2016-10-31~[2590, 1289]
2016-10-30~[2320, 1078]
2016-10-29~[1808, 910]
2016-10-28~[3521, 1778]
2016-10-27~[3809, 1845]
2016-10-26~[3325, 1715]
2016-10-25~[3233, 1365]
2016-10-24~[3672, 1749]
2016-10-23~[2570, 1183]
2016-10-22~[2199, 1048]
2016-10-21~[3396, 1540]
2016-10-20~[3318, 1477]
2016-10-19~[3958, 1642]
2016-10-18~[3673, 1384]
2016-10-17~[4130, 1791]
2016-10-16~[3320, 1444]
2016-10-15~[2889, 1190]
2016-10-14~[4014, 1859]
2016-10-13~[7005, 2918]
2016-10-12~[6065, 2388]
2016-10-11~[4707, 1700]
2016-10-10~[3996, 1547]
2016-10-09~[2758, 950]
2016-10-08~[2488, 902]
2016-10-07~[3840, 1337]
2016-10-06~[3269, 1325]
2016-10-05~[4186, 1463]
2016-10-04~[4434, 1579]
2016-10-03~[4563, 1617]
2016-10-02~[3861, 1618]
2016-10-01~[1909, 783]
2016-09-30~[2360, 1093]
2016-09-29~[2541, 1126]
2016-09-28~[2079, 1029]
2016-09-27~[2194, 1190]
2016-09-26~[2184, 974]
2016-09-25~[1415, 662]
2016-09-24~[1311, 656]
2016-09-23~[2146, 1012]
2016-09-22~[2645, 1199]
2016-09-21~[2327, 1044]
2016-09-20~[2160, 1085]
2016-09-19~[1984, 960]
2016-09-18~[1422, 628]
2016-09-17~[1494, 671]
2016-09-16~[2087, 1164]
2016-09-15~[2223, 1164]
2016-09-14~[2772, 1459]
2016-09-13~[2460, 1120]
2016-09-12~[2690, 1075]
2016-09-11~[1792, 790]
2016-09-10~[1518, 749]
2016-09-09~[2115, 1045]
2016-09-08~[2492, 1202]
2016-09-07~[3123, 1464]
2016-09-06~[2414, 1252]
2016-09-05~[3940, 2018]
2016-09-04~[2302, 1071]
2016-09-03~[1728, 1210]
2016-09-02~[1717, 1081]
2016-09-01~[2370, 1290]
2016-08-31~[2539, 1437]
2016-08-30~[2019, 1209]
2016-08-29~[1418, 876]
2016-08-28~[1365, 798]
2016-08-27~[1214, 820]
2016-08-26~[1704, 1075]
2016-08-25~[2170, 1575]
2016-08-24~[2047, 1366]
2016-08-23~[1798, 1090]
2016-08-22~[1837, 1066]
2016-08-21~[1119, 652]
2016-08-20~[1090, 633]
2016-08-19~[1527, 872]
2016-08-18~[1934, 1149]
2016-08-17~[1970, 1073]
2016-08-16~[2177, 1071]
2016-08-15~[1829, 1082]
2016-08-14~[1372, 853]
2016-08-13~[1146, 652]
2016-08-12~[1485, 870]
2016-08-11~[1652, 1057]
2016-08-10~[2194, 1192]
2016-08-09~[2131, 1223]
2016-08-08~[1970, 1232]
2016-08-07~[1079, 720]
2016-08-06~[1017, 627]
2016-08-05~[2181, 1240]
2016-04-01~[847, 972]
2016-08-04~[2881, 1470]
2016-08-03~[2601, 1385]
2016-08-02~[2387, 1454]
2016-08-01~[2285, 1281]
2016-07-31~[1133, 796]
2016-07-30~[1318, 887]
2016-07-29~[1025, 645]
2016-07-28~[3161, 2084]
2016-07-27~[3265, 1943]
2016-07-26~[2963, 1845]
2016-07-25~[3183, 2036]
2016-07-24~[2294, 1599]
2016-07-23~[2040, 1240]
2016-06-17~[5315, 5554]
2016-07-22~[4332, 2152]
2016-07-21~[3903, 2394]
2016-07-20~[4001, 2424]
2016-07-19~[4168, 2388]
2016-07-18~[4041, 2195]
2016-07-17~[2565, 1896]
2016-07-16~[2633, 1945]
2016-07-15~[4618, 2767]
2016-07-14~[6948, 3632]
2016-07-13~[8011, 4349]
2016-07-12~[6750, 3938]
2016-07-11~[8567, 5078]
2016-07-10~[3803, 2948]
2016-07-09~[4705, 2824]
2016-07-08~[7330, 4177]
2016-07-07~[8164, 5162]
2016-07-06~[10046, 5321]
2016-06-16~[8364, 6551]
2016-06-15~[10479, 10350]
2016-06-14~[8538, 7862]
2016-06-13~[5193, 5990]
2016-06-12~[4162, 6386]
2016-06-11~[4804, 6001]
2016-06-10~[5835, 7028]
2016-06-09~[6291, 7910]
2016-06-08~[4643, 5899]
2016-06-07~[5768, 6951]
2016-06-06~[4878, 5906]
2016-05-25~[3267, 4455]
2016-06-02~[4158, 6049]
2016-06-05~[3459, 4711]
2016-06-04~[2668, 3716]
2016-06-03~[4413, 5905]
2016-06-01~[3655, 5050]
2016-05-31~[3463, 4543]
2016-05-30~[1997, 3366]
2016-05-29~[1729, 2714]
2016-05-28~[1702, 3416]
2016-05-27~[3150, 4312]
2016-05-26~[3018, 4364]
2016-05-24~[3362, 4461]
2016-05-23~[3427, 4705]
2016-05-22~[1964, 3673]
2016-05-21~[1602, 3105]
2016-05-20~[2222, 3806]
2016-05-19~[2130, 3286]
2016-05-18~[2362, 3035]
2016-05-17~[2653, 3614]
2016-05-16~[2428, 3427]
2016-05-15~[2815, 3619]
2016-05-14~[2309, 3379]
2016-05-13~[2537, 3655]
2016-05-12~[2366, 3157]
2016-05-11~[1972, 2897]
2016-05-10~[2114, 3067]
2016-05-09~[2377, 3766]
2016-05-08~[856, 1694]
2016-05-07~[603, 1252]
2016-05-06~[1459, 1772]
2016-05-05~[1047, 1547]
2016-05-04~[1176, 2054]
2016-05-03~[1126, 2014]
2016-05-02~[840, 1660]
2016-05-01~[643, 1467]
2016-04-30~[679, 1442]
2016-04-29~[1372, 1811]
2016-04-28~[1580, 1849]
2016-04-27~[1582, 2025]
2016-04-26~[1430, 2018]
2016-04-25~[1700, 2268]
2016-04-24~[1558, 2532]
2016-04-23~[1804, 2621]
2016-04-22~[3280, 3729]
2016-04-21~[1527, 1724]
2016-04-20~[1729, 1855]
2016-04-19~[2265, 2190]
2016-04-18~[2405, 2734]
2016-04-17~[1210, 1765]
2016-04-16~[1128, 1615]
2016-04-15~[1678, 2021]
2016-04-14~[1464, 1820]
2016-04-13~[1291, 1817]
2016-04-12~[1593, 1918]
2016-04-11~[914, 1215]
2016-04-10~[671, 959]
2016-04-09~[613, 1023]
2016-04-08~[970, 1347]
2016-04-07~[1418, 1912]
2016-04-06~[981, 1458]
2016-04-05~[977, 1185]
2016-04-04~[890, 1028]
2016-04-03~[631, 950]
2016-04-02~[529, 886]
2016-03-31~[1004, 1296]
2016-03-30~[1070, 1427]
2016-03-29~[1094, 1272]
2016-03-28~[682, 857]
2016-03-27~[741, 1023]
2016-03-26~[614, 1054]
2016-03-25~[532, 915]
2016-03-24~[1101, 1337]
2016-03-23~[1128, 1325]
2016-03-22~[1441, 1668]
2016-03-21~[1114, 1263]
2016-03-20~[641, 1003]
2016-02-22~[4998, 3572]
2016-03-19~[715, 1023]
2016-03-18~[1132, 1454]
2016-03-17~[793, 1179]
2016-03-16~[936, 1240]
2016-03-15~[1037, 1652]
2016-03-14~[914, 1296]
2016-03-13~[707, 1407]
2016-03-12~[699, 1079]
2016-03-11~[1204, 1830]
2016-03-10~[1471, 1704]
2016-03-09~[1434, 1611]
2016-03-08~[1391, 1556]
2016-03-07~[1136, 1545]
2016-03-06~[1076, 1434]
2016-03-05~[710, 1276]
2016-03-04~[1369, 1480]
2016-03-03~[1740, 2318]
2016-03-02~[1365, 1748]
2016-03-01~[1249, 1589]
2016-02-29~[1513, 1805]
2016-02-28~[1240, 1756]
2016-02-27~[1149, 1651]
2016-02-26~[1670, 2095]
2016-02-25~[1575, 1778]
2016-02-24~[2346, 2133]
2016-02-23~[3186, 2682]
2016-02-21~[4453, 3791]
2016-02-20~[3424, 4016]
2016-02-19~[2666, 2607]
2016-02-18~[1308, 1290]
2016-02-17~[711, 916]
2016-02-16~[677, 854]
2016-02-15~[583, 858]
2016-02-14~[290, 644]
2016-02-13~[245, 508]
2016-02-12~[371, 539]
2016-02-11~[348, 433]
2016-02-10~[429, 531]
2016-02-01~[397, 584]
2016-02-09~[388, 577]
2016-02-08~[513, 824]
2016-02-07~[276, 582]
2016-02-06~[254, 541]
